,GSM2810714_H5.Glom.LD_478,GSM2810715_H5.Glom.LD_479,GSM2810716_H5.Glom.LD_482,GSM2810738_H5.Glom.SLE401,GSM2810739_H5.Glom.SLE402,GSM2810740_H5.Glom.SLE404,GSM2810741_H5.Glom.SLE405,GSM2810742_H5.Glom.SLE406,GSM2810743_H5.Glom.SLE407,GSM2810744_H5.Glom.SLE408,GSM2810745_H5.Glom.SLE409,GSM2810746_H5.Glom.SLE410,GSM2810747_H5.Glom.SLE411,GSM2810748_H5.Glom.SLE412,GSM2810749_H5.Glom.SLE413,GSM2810750_H5.Glom.SLE414,GSM2810751_H5.Glom.SLE418,GSM2810752_H5.Glom.SLE419,GSM2810753_H5.Glom.SLE423,GSM2810754_H5.Glom.SLE430,GSM2810755_H5.Glom.SLE438,GSM2810756_H5.Glom.SLE440,GSM2810757_H5.Glom.SLE442,GSM2810759_H5.Glom.SLE445,GSM2810761_H5.Glom.SLE450,GSM2810762_H5.Glom.SLE451,GSM2810763_H5.Glom.SLE454,GSM2810764_H5.Glom.SLE462,GSM2810765_H5.Glom.SLE463,GSM2810766_H5.Glom.SLE464,GSM2810767_H5.Glom.SLE465,GSM2810768_H5.Glom.SLE466,GSM2810769_H5.Glom.SLE467,GSM2810793_H7.Glom.LD_974,GSM2810794_H7.Glom.LD_975,GSM2810795_H7.Glom.LD_976,GSM2810796_H7.Glom.LD_978,GSM2810797_H7.Glom.LD_979,GSM2810798_H7.Glom.LD_980,GSM2810799_H7.Glom.LD_981,GSM2810800_H7.Glom.LD_982,GSM2810801_H7.Glom.LD_983,GSM2810802_H7.Glom.LD_984,GSM2810803_H7.Glom.LD_985,GSM2810804_H7.Glom.LD_987,GSM2810805_H7.Glom.LD_988,GSM2810806_H7.Glom.LD_989,GSM2810807_H7.Glom.LD_990,GSM2810808_H7.Glom.LD_992,GSM2810809_H7.Glom.LD_993,GSM2810810_H7.Glom.LD_994
Activated B cell,0.249421365,0.184571236,0.293186954,0.335362877,0.284296519,0.204328902,0.341055128,0.265723402,0.345946699,0.903506617,0.352824784,-0.328581807,0.497154882,0.370840671,-0.272391298,-0.265443084,0.375098947,0.499700968,0.321461214,0.305066595,0.604500075,0.329657121,0.54305925,0.475188437,0.346831569,0.377647532,0.33385658,0.353548325,0.403397416,0.784124872,0.477126084,0.214207907,0.382130455,-0.600122945,-0.628258398,-0.363463909,-0.272005262,-0.489457444,-0.543157942,-0.393207311,-0.601390949,-0.36605638,-0.626837558,-0.43047891,-0.395022213,-0.492620872,-0.429588706,-0.501454448,-0.372305289,-0.366795235,-0.418447188
Activated CD4 T cell,-0.644074604,-0.339399907,-0.593572689,-0.339568056,0.282356001,-0.326625,-0.481296254,0.585110631,-0.467185236,0.705981301,0.328765088,0.395907681,0.349929051,0.423170215,-0.396765597,-0.281721066,0.232423264,-0.290425115,-0.52260762,0.514842378,0.513827205,0.466670529,-0.426740931,0.351339481,0.54805694,-0.391151296,0.37330671,0.233517369,-0.277774443,0.632584221,0.372796793,-0.401882704,0.533567239,-0.274795671,-0.330122435,-0.399403824,-0.219839839,-0.289549293,-0.402515153,-0.320508345,-0.43487747,-0.313803674,-0.401042063,0.208670931,0.164309283,-0.382676308,0.332902581,0.216271373,-0.293515785,0.198036078,-0.218301662
Activated CD8 T cell,-0.379925025,-0.393820158,-0.362137122,0.455976995,0.211994508,0.248933128,-0.258050604,0.476739983,-0.278892625,0.672507975,0.442283432,0.318855531,0.56865736,0.252361653,-0.186746452,-0.247479217,0.490270121,0.521642294,-0.261030912,0.319515593,0.608706312,0.279374617,-0.275037045,0.26829255,0.24450367,0.340233186,0.406370383,0.455060954,0.534332701,0.568067503,0.615345497,0.399927639,0.63806183,-0.373328779,-0.387569199,-0.52965159,-0.418083433,-0.356428307,-0.442356794,-0.49867078,-0.435016379,-0.401003719,-0.242160009,-0.445982625,-0.464924441,-0.393928015,-0.472177835,-0.232485596,-0.504360162,-0.521460493,-0.433221189
Central memory CD4 T cell,-0.474808748,-0.353900111,-0.438572336,0.319170863,0.331792742,-0.287866558,0.217593335,0.286139646,0.265621912,0.334660889,0.250854776,0.454249449,-0.210907167,0.265638087,-0.15952748,-0.155024511,-0.204507257,-0.325099361,-0.281278456,-0.360877495,0.265170522,0.244776571,0.178569533,0.227999434,0.245816542,-0.235035302,0.310207195,0.441879319,-0.26963304,-0.229991252,0.287418606,0.28217478,0.329079554,0.146720764,0.209627616,-0.347724762,-0.19813965,-0.201654428,0.203299118,-0.194607519,0.257716673,0.342022297,0.242546173,-0.211036065,-0.333646601,-0.181086217,0.249472653,0.20487733,-0.438627385,-0.298486211,-0.298875781
Central memory CD8 T cell,0.153798966,-0.241868991,-0.169395912,0.360073932,0.310470735,-0.164579197,0.259609857,0.27445355,0.362646415,0.340157325,0.412674102,0.406530335,0.355844208,0.356166794,0.207682906,0.303105784,-0.292839437,0.358344985,-0.256427123,0.325310666,0.264330341,0.396947676,-0.348074469,0.419302614,0.367885594,0.19220533,0.233530737,0.411045369,0.405344373,0.339678602,0.457940663,0.21205388,0.346836998,0.223283621,-0.395732954,-0.317053965,-0.317503063,-0.309651507,-0.373181025,-0.384496472,-0.343124353,-0.315222576,-0.266211515,-0.392759417,-0.418796979,-0.442192834,0.206842042,-0.324004304,-0.198259334,-0.428175091,-0.387337461
Effector memeory CD4 T cell,-0.442443431,-0.398577247,-0.426777639,-0.304632824,0.248162586,-0.392120892,-0.398910949,0.365425417,-0.369329363,0.415528918,-0.303677718,0.312198418,-0.284734296,-0.192592148,-0.643325611,-0.565624216,-0.311769363,-0.268193038,-0.543267432,0.225018602,0.328291768,0.222246059,-0.427219097,0.204222619,0.245270744,-0.207586563,0.316564455,0.305053764,-0.431212762,-0.227074368,-0.315653925,-0.395643535,0.19547382,0.181049219,0.25221079,0.296667072,0.286206717,0.271131567,0.234165673,0.35633754,0.154090032,0.239608352,0.39042917,0.324020615,0.295056509,0.345790943,0.225834753,0.319496305,0.378620772,0.407821656,0.285787188
Effector memeory CD8 T cell,-0.417264222,-0.473312179,-0.440788326,0.401022328,0.436351767,-0.43416186,0.221250839,-0.145669585,-0.222802083,0.467381815,0.45378782,0.445371542,0.224574093,-0.355674168,-0.265997555,0.251268747,-0.164847141,-0.441127137,-0.312449068,-0.405612657,-0.304624632,-0.375070078,-0.517585861,-0.215070644,0.36666187,-0.15767456,0.316854145,0.514660014,0.237475535,0.329230066,0.397216695,0.333913869,0.305375091,0.393397318,-0.171110638,0.233758608,0.16774123,-0.197247077,-0.197263706,-0.244176875,-0.214851357,-0.180698177,-0.209895051,0.283260017,-0.2524057,-0.254213555,-0.313873628,0.494049886,0.244620013,0.202317615,0.201192177
Gamma delta T cell,-0.554243429,-0.546037185,-0.453332531,-0.277565382,0.328450928,-0.208082186,-0.270989098,0.46789921,-0.312251302,0.41738617,0.337080339,0.491416367,0.333018244,0.369636731,-0.180922623,-0.351663039,0.186817994,0.302765389,-0.446930076,0.175434158,0.417713572,0.378624153,-0.372226024,0.49953565,0.412190533,0.158880129,0.418772371,0.380468,-0.258495296,0.277412922,0.407695656,0.203223767,0.48853237,0.260308496,-0.328697811,-0.220860609,-0.231723547,-0.291811988,-0.243901738,-0.446919998,-0.218997349,-0.286702846,-0.179996158,-0.190346249,-0.297732837,-0.301013642,-0.291520796,-0.210222117,-0.267184738,-0.245169538,-0.261298583
Immature  B cell,-0.538429829,-0.545789891,-0.592258234,0.587460567,0.588919493,-0.54759729,0.314229234,0.299787197,0.517118594,0.83413939,0.661563675,0.508785243,-0.348690332,0.438815915,0.306339606,-0.300495994,0.339562378,-0.427900434,-0.452276473,-0.299226619,0.291813954,0.282129926,-0.430506566,0.331754316,0.481651074,0.320884219,0.443615986,0.724877729,0.445657403,0.594814038,0.691283633,0.256031925,0.451474294,-0.512696542,-0.568238546,-0.531964621,-0.631115831,-0.308282966,-0.385137393,-0.54885607,-0.404015197,-0.27946505,-0.507929397,-0.307735929,-0.321170562,-0.370582161,0.379512742,-0.33545516,-0.3830569,-0.415827503,-0.303881364
Memory B cell,-0.245839151,0.268018101,-0.350148255,-0.569557726,-0.220646838,-0.313153129,0.282350006,0.303345675,-0.380458343,0.553326691,-0.435676522,-0.302564847,0.354494964,0.350824439,-0.442662981,-0.477781785,0.264743934,0.304521991,-0.528450238,0.406818169,0.389072498,0.349273494,-0.355474542,-0.279256919,-0.276012139,-0.269115745,0.279478162,-0.22432326,-0.301083992,0.528697884,-0.494731014,-0.556534215,0.316681889,-0.160223838,-0.241341367,0.343884592,-0.15357529,0.352691198,-0.175913913,0.250554692,-0.232604083,-0.161384008,0.345937089,0.245415136,0.212394108,-0.279885324,0.424694835,0.25842138,-0.27969612,-0.209369228,-0.396285343
Regulatory T cell,-0.554786889,-0.525695124,-0.387521005,0.50053052,0.560544587,-0.278806584,0.235550198,0.513753773,0.516195215,0.526914993,0.650142077,0.654945711,0.523120582,0.604540338,-0.199128964,0.177578474,0.352961016,0.569906048,-0.331879176,0.340469002,0.305433308,0.426367291,-0.296550292,0.564171384,0.460115528,-0.210603829,0.503475611,0.743889385,0.560429311,0.531309354,0.636521266,0.287011206,0.654808986,-0.546630968,-0.388113827,-0.579172891,-0.394319498,-0.52552247,-0.48974601,-0.589740098,-0.524622898,-0.41784472,-0.389650043,-0.510061805,-0.51790493,-0.457173776,-0.246538366,-0.4260214,-0.51871687,-0.496233875,-0.524843281
T follicular helper cell,-0.304386374,-0.44167313,-0.330745221,0.235742073,0.416797939,0.231723694,0.333731528,0.342956718,0.204118168,0.378933458,0.419104122,0.374936194,0.312910407,0.36075761,-0.244694031,-0.303182262,-0.278627197,0.255283211,-0.519370623,0.216327857,0.253201764,0.378417615,-0.32326107,0.328327434,0.237809419,-0.21627286,0.180514625,0.3914806,0.307569514,0.316732133,0.327031097,0.255530562,0.373202153,-0.255521147,-0.313024247,-0.235332953,0.226701313,-0.31073214,-0.328418816,-0.293717596,-0.285236998,-0.309193893,-0.256023724,-0.250784746,0.212397797,0.25472234,0.263847421,-0.344009809,0.23451416,-0.254091984,0.173456104
Type 1 T helper cell,-0.198467473,0.210707787,-0.17663469,0.321010427,0.41804108,0.310874105,0.405854762,0.350922286,0.384667894,0.368833924,0.363003395,0.328388468,0.292589285,0.383240339,0.194873765,0.197970935,0.195303687,0.216919705,0.187330023,0.276410977,0.267066763,0.376350493,-0.221388701,0.385393027,0.395538954,0.256990272,0.273739148,0.38592027,0.322570543,0.439572777,0.352665398,0.286335488,0.363822694,-0.386009106,-0.298009748,-0.415293268,-0.339827293,-0.384093587,-0.397997283,-0.333243577,-0.420476306,-0.302833393,-0.37839727,-0.355445355,-0.307918012,-0.336433647,-0.309804059,-0.340506806,-0.342574822,-0.349980376,-0.35386521
Type 17 T helper cell,-0.249038416,-0.248256779,-0.261425455,-0.349681425,0.19653741,0.141679809,-0.331316744,-0.285782413,-0.409878848,0.295623088,-0.313407035,0.232217281,0.314493392,-0.259601435,-0.282801982,-0.238389559,-0.16952822,-0.270146409,-0.330797318,0.3544936,-0.191088635,-0.183793174,-0.395114983,0.496436163,-0.358395966,-0.241347891,0.276485951,-0.21432948,0.240394997,0.177955703,-0.473531944,0.183075848,0.334398619,-0.29207084,-0.355847733,0.228009017,0.438031796,-0.256824087,-0.321825858,0.297873124,-0.393479032,-0.325460977,0.313090908,0.389525369,0.35506565,0.305146806,0.277390672,-0.241292495,0.352649235,0.417887762,0.224213357
Type 2 T helper cell,-0.372313196,-0.365371934,-0.316977032,-0.30507519,0.175134436,0.286770862,0.313677841,0.386569294,-0.278766396,0.470487322,-0.273638134,-0.233490755,-0.250387228,-0.253270624,-0.288367057,-0.380378085,0.234414904,-0.22095695,-0.517741192,0.312100013,0.369418181,0.302114191,0.177650067,0.24334458,0.309911178,0.231674497,0.290026266,0.21958569,0.201069538,0.371487548,0.301754,-0.399077524,0.256686984,-0.320470136,-0.269396419,-0.257311022,0.194750519,0.289873713,0.215262354,-0.182710606,-0.317960741,-0.361535052,-0.230418484,0.283366178,-0.294513436,-0.206393935,0.273086151,0.329634713,0.15135599,-0.165147734,0.206147323
Activated dendritic cell,-0.501669391,-0.39087892,-0.473436271,0.24939182,0.45504429,-0.370459798,-0.22874558,0.325551343,0.324890898,0.32143355,0.340614562,0.404835851,0.295767591,0.34958955,-0.206731827,-0.178348715,0.311832167,0.188938752,-0.506902826,0.216045177,0.322335465,0.194773857,-0.262811713,0.295883103,-0.252191461,-0.497163072,0.220005841,0.45369037,0.222466657,0.352287026,0.499064649,0.222347568,0.425912761,-0.200864583,-0.268195354,-0.287726376,-0.248277193,-0.230539243,0.187684236,-0.28356948,0.188844674,0.341594938,0.183422127,-0.24102404,-0.267282777,-0.306393874,0.419227301,-0.410415197,-0.337688635,-0.277757342,-0.403260068
CD56bright natural killer cell,-0.365973835,-0.336740123,-0.3840831,-0.244037126,-0.176914052,-0.179827806,-0.368058869,0.266708886,0.226331182,0.317267627,-0.244956674,0.189754813,0.280866854,-0.18318266,-0.225588852,-0.243080474,-0.274738343,-0.220424441,-0.136621636,-0.199542854,0.339923761,0.186989791,-0.372735267,-0.210447366,0.398316632,0.277416359,0.232679096,0.222682821,-0.317249739,0.234264663,0.341479602,-0.158467739,-0.248472364,0.223676081,0.198459608,-0.225113834,-0.197170257,0.154308248,0.265226815,0.213740926,0.328878255,0.163024535,0.1805022,0.21861564,0.147875464,-0.203429988,0.208548081,-0.173180809,-0.164984842,-0.22400528,-0.12879354
CD56dim natural killer cell,-0.284230857,-0.45170203,-0.355047162,-0.506849366,-0.523658593,-0.31521915,-0.273009511,-0.331510678,-0.282859003,0.320984247,0.255768926,0.266224763,0.318400777,0.373945332,-0.400110678,-0.230483036,0.35134695,0.226210939,-0.380231227,-0.333318384,-0.386297861,-0.293817468,-0.348884168,-0.3670408,-0.311625104,0.198516116,-0.325286265,0.25808387,-0.352795669,0.404564371,-0.290572618,-0.251992161,-0.29818404,0.356036137,-0.236228478,0.276705782,-0.225891511,0.310687661,-0.279312864,0.212783146,0.361640548,0.217602669,-0.222298397,0.436605432,0.273000619,0.240545929,0.234509877,-0.218568957,0.458555118,0.306939861,0.33823952
Eosinophil,-0.205134229,0.356993433,0.1918837,0.444977676,0.277649149,-0.203314071,0.348600546,-0.234163586,0.483596429,0.380635569,0.304597966,0.370221433,0.39677014,0.268461954,0.325609753,0.252022907,0.3338315,0.269781998,0.250726086,0.417470735,0.264116677,0.242262987,-0.172305251,0.327434815,-0.199558249,0.275369264,-0.278616327,0.536358365,0.256529666,0.550260597,0.419054634,0.222659955,0.38175124,-0.514250636,-0.371164285,0.275953662,-0.380286702,0.377270471,-0.489942357,-0.477421231,-0.426227904,0.27657775,-0.353776894,-0.433839033,-0.229182455,-0.380335196,0.256718243,-0.264417572,-0.396587955,-0.365277552,-0.348559795
Immature dendritic cell,0.188535612,0.157650417,-0.184431125,-0.323898074,-0.243447697,-0.211522037,-0.34126546,0.412102711,0.17376823,0.215097341,-0.361891087,-0.280210106,-0.33821097,-0.389314097,-0.253362755,0.19053403,-0.196296857,-0.280038739,-0.277497543,0.375138681,0.340023803,0.279018988,0.199991317,-0.24533036,-0.131370565,-0.422700381,-0.255408861,-0.264513562,-0.274837495,-0.313571192,-0.298630173,-0.536491031,-0.242212905,0.177415145,0.299318739,-0.234500533,0.267378,-0.324668023,0.376552405,-0.197830083,0.267168948,0.251311491,0.349769962,0.271848122,-0.179357096,-0.168648844,0.332969848,-0.295011568,0.207542767,-0.169173787,0.192980698
Macrophage,-0.238755729,-0.299270276,-0.379743044,0.18257566,0.276081442,-0.322971036,-0.253460783,0.28452957,0.259005119,0.275368861,0.290982772,0.32909085,0.215711761,0.449894118,-0.274420946,0.25867488,0.395529997,0.258600708,-0.438410169,0.261561651,0.332403056,0.270311456,-0.428544716,-0.241891321,0.284052079,-0.34902435,0.261222267,0.492816811,0.322694078,0.319897087,0.41566536,0.182317523,0.439293826,-0.258030277,-0.431691229,-0.301698884,-0.233301618,-0.352365151,-0.249920904,-0.409678047,-0.319705314,0.197752855,-0.275099127,-0.183262712,-0.208728185,-0.209511421,0.301188888,-0.250177464,0.222101509,-0.242813634,-0.270151358
Mast cell,-0.330298775,-0.245961998,0.292959525,0.420109036,0.504202374,0.358884448,0.543523784,0.432507226,-0.24033343,0.400221799,0.477004823,0.537739009,0.469611786,0.610868721,0.320723657,-0.238938717,0.482914556,0.562544221,-0.288389254,0.341454592,0.48875886,0.562432306,-0.190588478,0.539501795,0.434720237,-0.187383631,0.520742574,0.530325652,0.511998842,0.503225359,0.501651359,0.414287593,0.518189624,-0.388756168,-0.514063628,-0.530433886,-0.600148392,-0.479767085,-0.514909654,-0.591492984,-0.558480564,-0.328549839,-0.511603516,-0.337313052,-0.384136244,-0.551926488,0.242214425,-0.635793283,-0.308337129,-0.51901926,-0.465213489
MDSC,-0.604972526,-0.605534329,-0.580714792,0.543339069,0.564601168,0.312015292,0.337386104,0.380615205,0.359189074,0.524425844,0.561565571,0.519934573,0.390062959,0.44335164,-0.241268084,-0.179888524,0.268669235,0.420549264,-0.54031663,0.391631856,0.559948143,0.456713333,-0.514428107,0.546321014,0.399010845,-0.361680139,0.362428293,0.694975203,0.600621914,0.425560699,0.588494062,0.47219716,0.636782401,-0.375871029,-0.52272971,-0.483186608,-0.384584585,-0.401953413,-0.433589202,-0.625745888,-0.453369219,0.283358549,-0.399281722,-0.398307034,-0.416362869,-0.415245497,0.323699408,-0.366931251,-0.534635958,-0.519487664,-0.447213445
Monocyte,-0.228929163,-0.314354856,-0.26555348,0.539795651,0.525228011,-0.305476066,0.388241867,-0.175758295,0.38697852,0.301856769,0.447654789,0.428245634,0.282491494,0.395619077,0.272070836,0.270957222,0.233680587,0.438937051,-0.28287349,-0.248596001,0.318631165,-0.311762419,-0.375924472,0.202698264,0.198437276,-0.404293489,-0.196806949,0.533347222,0.222927392,0.263016894,0.29374645,0.34583642,0.56623519,-0.416017757,0.20497673,-0.392861316,-0.238925244,-0.22835917,-0.25397348,-0.403036754,-0.269197973,-0.33621018,-0.246484712,-0.372126804,-0.312034282,-0.22891622,0.201540153,-0.377789442,-0.376446273,-0.389038187,-0.492891872
Natural killer cell,-0.193469674,-0.270054785,-0.242544555,0.373429124,0.431038742,0.240551718,0.273867748,0.375479659,0.366798482,0.392448608,0.357388541,0.468605273,0.231634892,0.398471387,0.284722587,0.246248698,-0.159005568,-0.24073427,-0.292632554,0.295832078,0.339465365,0.319778471,0.191398372,0.391886367,0.443050052,-0.1976842,0.42868813,0.364798856,0.301002905,0.337622988,0.350764643,0.31350844,0.36638807,-0.29382889,-0.268159453,-0.287581669,-0.269434516,-0.410315178,-0.392811884,-0.473355706,-0.395213806,-0.396848723,-0.396231784,-0.359960619,-0.365250094,-0.324335982,-0.277411558,-0.329926361,-0.381760773,-0.285825928,-0.337896461
Natural killer T cell,-0.263634893,-0.383995589,-0.310723172,-0.272751882,0.352951711,0.394043547,0.252036604,0.309033441,-0.298289995,0.348256654,0.436069112,0.354966344,0.334801138,0.404698766,-0.165281216,-0.243903543,0.363110925,0.231177073,-0.362340291,0.50206644,0.24286116,0.352308862,0.255271876,0.35282173,0.343539274,0.267202986,0.355219086,0.346160798,0.254375006,0.338349396,0.298035013,0.301816024,0.419235261,-0.425532689,-0.34316415,-0.319218367,-0.270364594,-0.286383134,-0.370311256,-0.344342548,-0.373802841,-0.349903451,-0.336412605,0.230817515,0.200477781,-0.255551946,-0.199361435,-0.296126669,-0.252890379,-0.212788287,0.286173552
Neutrophil,-0.351950683,-0.229651587,-0.378328496,-0.406030274,0.396583562,0.201212852,-0.30007912,0.524247624,-0.318076955,-0.382859855,-0.259707797,0.42311483,0.258460845,0.456565186,0.232906324,-0.343186235,0.59924516,0.474893868,0.21445364,0.371085063,0.231980047,0.383675949,0.305785318,0.365639518,0.247487533,0.309961523,-0.296210099,0.463976537,0.320021612,0.310994999,0.524045273,0.196181994,0.607199618,-0.341226337,-0.491082489,-0.347562577,-0.227641821,0.284814116,-0.458593161,-0.483690194,-0.473164249,0.48664898,-0.564236113,0.365254345,0.384528736,-0.333555074,0.55637268,-0.431278633,-0.162222008,-0.423667633,-0.310686451
Plasmacytoid dendritic cell,-0.292457701,-0.210560971,-0.279401853,0.437389402,0.372675895,-0.287106477,0.317349103,-0.249317222,0.208148855,-0.239041099,0.344090484,0.35091336,-0.206448609,-0.223150041,-0.359972237,0.151963318,-0.36316564,-0.332959052,-0.356547287,-0.406787886,-0.259534229,-0.325883136,-0.290273176,-0.295107522,-0.324957734,-0.377945817,-0.38568141,0.242063775,0.219644472,-0.213071817,-0.237644967,0.195678676,0.245868549,0.199243801,0.449139794,-0.262305246,0.197973172,0.301109737,0.185944554,-0.171834432,-0.197413707,0.350597867,0.28867911,-0.281768442,-0.170484626,-0.180776279,0.207952604,0.314073273,0.211140247,0.183032626,-0.192097576